1,Brain,Brain Segmentation Volume,Miscellaneous
2,Brain,Brain Segmentation Volume Without Ventricles,Ventricle
3,Brain,Brain Segmentation Volume Without Ventricles from Surf,Ventricle
4,Left Hemisphere,Left hemisphere cortical gray matter volume,Miscellaneous
5,Right Hemisphere,Right hemisphere cortical gray matter volume,Miscellaneous
6,Miscellaneous,Total cortical gray matter volume,Miscellaneous
7,Left Hemisphere,Left hemisphere cortical white matter volume,Miscellaneous
8,Right Hemisphere,Right hemisphere cortical white matter volume,Miscellaneous
9,Miscellaneous,Total cortical white matter volume,Miscellaneous
10,Miscellaneous,Subcortical gray matter volume,Miscellaneous
11,Miscellaneous,Total gray matter volume,Miscellaneous
12,SupraTentorial,SupraTentorialVol Supratentorial volume,Miscellaneous
13,SupraTentorial,SupraTentorialVolNotVent Supratentorial volume,Miscellaneous
14,SupraTentorial,Supratentorial volume voxel count,Miscellaneous
15,Miscellaneous,Mask Volume,Miscellaneous
16,Brain,Ratio of BrainSegVol to eTIV,Miscellaneous
17,Miscellaneous,Ratio of MaskVol to eTIV,Miscellaneous
18,Left Hemisphere,Number of defect holes in lh surfaces prior to fixing,Miscellaneous
19,Right Hemisphere,Number of defect holes in rh surfaces prior to fixing,Miscellaneous
20,Miscellaneous,Total number of defect holes in surfaces prior to fixing,Miscellaneous
21,Miscellaneous,eTIV Estimated Total Intracranial Volume,Miscellaneous
22,Left Hemisphere,Left-Lateral-Ventricle Volume_mm3,Ventricle
23,Left Hemisphere,Left-Lateral-Ventricle NVoxels,Ventricle
24,Left Hemisphere,Left-Lateral-Ventricle normMean,Ventricle
25,Left Hemisphere,Left-Lateral-Ventricle normStdDev,Ventricle
26,Left Hemisphere,Left-Lateral-Ventricle normMin,Ventricle
27,Left Hemisphere,Left-Lateral-Ventricle normMax,Ventricle
28,Left Hemisphere,Left-Lateral-Ventricle normRange,Ventricle
29,Left Hemisphere,Left-Inf-Lat-Vent Volume_mm3,Miscellaneous
30,Left Hemisphere,Left-Inf-Lat-Vent NVoxels,Miscellaneous
31,Left Hemisphere,Left-Inf-Lat-Vent normMean,Miscellaneous
32,Left Hemisphere,Left-Inf-Lat-Vent normStdDev,Miscellaneous
33,Left Hemisphere,Left-Inf-Lat-Vent normMin,Miscellaneous
34,Left Hemisphere,Left-Inf-Lat-Vent normMax,Miscellaneous
35,Left Hemisphere,Left-Inf-Lat-Vent normRange,Miscellaneous
36,Left Hemisphere,Left-Cerebellum-White-Matter Volume_mm3,Cerebellum
37,Left Hemisphere,Left-Cerebellum-White-Matter NVoxels,Cerebellum
38,Left Hemisphere,Left-Cerebellum-White-Matter normMean,Cerebellum
39,Left Hemisphere,Left-Cerebellum-White-Matter normStdDev,Cerebellum
40,Left Hemisphere,Left-Cerebellum-White-Matter normMin,Cerebellum
41,Left Hemisphere,Left-Cerebellum-White-Matter normMax,Cerebellum
42,Left Hemisphere,Left-Cerebellum-White-Matter normRange,Cerebellum
43,Left Hemisphere,Left-Cerebellum-Cortex Volume_mm3,Cerebellum
44,Left Hemisphere,Left-Cerebellum-Cortex NVoxels,Cerebellum
45,Left Hemisphere,Left-Cerebellum-Cortex normMean,Cerebellum
46,Left Hemisphere,Left-Cerebellum-Cortex normStdDev,Cerebellum
47,Left Hemisphere,Left-Cerebellum-Cortex normMin,Cerebellum
48,Left Hemisphere,Left-Cerebellum-Cortex normMax,Cerebellum
49,Left Hemisphere,Left-Cerebellum-Cortex normRange,Cerebellum
50,Left Hemisphere,Left-Thalamus-Proper Volume_mm3,Thalamus
51,Left Hemisphere,Left-Thalamus-Proper NVoxels,Thalamus
52,Left Hemisphere,Left-Thalamus-Proper normMean,Thalamus
53,Left Hemisphere,Left-Thalamus-Proper normStdDev,Thalamus
54,Left Hemisphere,Left-Thalamus-Proper normMin,Thalamus
55,Left Hemisphere,Left-Thalamus-Proper normMax,Thalamus
56,Left Hemisphere,Left-Thalamus-Proper normRange,Thalamus
57,Left Hemisphere,Left-Caudate Volume_mm3,"Caudate Nucleus,"
58,Left Hemisphere,Left-Caudate NVoxels,"Caudate Nucleus,"
59,Left Hemisphere,Left-Caudate normMean,"Caudate Nucleus,"
60,Left Hemisphere,Left-Caudate normStdDev,"Caudate Nucleus,"
61,Left Hemisphere,Left-Caudate normMin,"Caudate Nucleus,"
62,Left Hemisphere,Left-Caudate normMax,"Caudate Nucleus,"
63,Left Hemisphere,Left-Caudate normRange,"Caudate Nucleus,"
64,Left Hemisphere,Left-Putamen Volume_mm3,Dorsal Striatum.
65,Left Hemisphere,Left-Putamen NVoxels,Dorsal Striatum.
66,Left Hemisphere,Left-Putamen normMean,Dorsal Striatum.
67,Left Hemisphere,Left-Putamen normStdDev,Dorsal Striatum.
68,Left Hemisphere,Left-Putamen normMin,Dorsal Striatum.
69,Left Hemisphere,Left-Putamen normMax,Dorsal Striatum.
70,Left Hemisphere,Left-Putamen normRange,Dorsal Striatum.
71,Left Hemisphere,Left-Pallidum Volume_mm3,Basal Ganglia
72,Left Hemisphere,Left-Pallidum NVoxels,Basal Ganglia
73,Left Hemisphere,Left-Pallidum normMean,Basal Ganglia
74,Left Hemisphere,Left-Pallidum normStdDev,Basal Ganglia
75,Left Hemisphere,Left-Pallidum normMin,Basal Ganglia
